Class,latitude,longitude,Location,Guidance Value(Rs. per square foot),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,22.51587413,88.36577165,Ballygunge,12960,8862,9504,10643,10717,13065,12898,11519,43103
0,22.51480272,88.3643029,Ballygunge,10620,9153,9539,10423,10361,12754,12745,11600,42931
0,22.51369916,88.36662521,Ballygunge,11205,9253,9711,10662,10651,12723,12413,11253,43226
0,22.51343069,88.36633093,Ballygunge,14130,8994,9501,10505,10559,12689,12269,11178,43185
0,22.51343564,88.36574769,Ballygunge,15534,9113,9620,10777,10799,12925,13030,11960,42946
0,22.51424105,88.36663054,Ballygunge,11439,9022,9493,10388,10283,12600,12189,11089,43127
0,22.5131548,88.3669115,Ballygunge,15534,9510,9843,10631,10620,12734,12965,11906,43295
0,22.51288881,88.3663256,Ballygunge,12960,9354,9838,10832,10865,12965,13062,12066,43145
0,22.51208093,88.36573438,Jadavpur,12375,8727,9069,9866,9676,12447,11997,10822,42939
0,22.51153657,88.36602067,Jadavpur,11790,8695,9107,9758,9623,11704,11247,10105,42940
0,22.51180009,88.36689818,Jadavpur,10620,9041,9263,9969,9811,12076,12469,11413,43215
0,22.51234198,88.3669035,Jadavpur,11205,9820,10264,11364,11536,13153,13807,12901,43262
0,22.51207598,88.36631761,Jadavpur,12960,8889,9196,10020,9895,12074,12077,11061,43111
0,22.51152915,88.36689551,Jadavpur,13311,8972,9303,10049,10135,11770,11971,11209,43187
0,22.51397505,88.36604463,Ballygunge,11790,8912,9490,10639,10609,13065,11976,10632,43026
0,22.51515982,88.3540988,Ballygunge,12375,9490,10113,11175,11220,13374,13788,12539,43220
0,22.51462284,88.35351028,Ballygunge,12375,9302,10015,11204,11304,13488,13231,11790,43298
0,22.5147755,88.36751072,Ballygunge,11439,8804,9217,10023,9931,11806,11647,10801,43253
0,22.5139602,88.36779434,Ballygunge,11205,8617,8996,9841,9582,12567,11456,10029,43308
0,22.51342079,88.3674974,Ballygunge,12375,9056,9525,10547,10661,11896,12121,11173,43318
0,22.51515246,88.35497367,Ballygunge,12960,9463,10172,11401,11516,13202,13300,11932,43293
0,22.51704661,88.35528378,Ballygunge,11790,8971,9723,10892,10927,13190,12240,10987,43177
0,22.51353906,88.35349973,Ballygunge,11205,9395,10232,11309,11475,13214,11831,10588,42927
0,22.51380019,88.35466884,Ballygunge,15534,9165,9905,11056,11139,12578,12143,10968,43070
0,22.51379038,88.35583532,Ballygunge,11790,9136,9769,10913,10868,12525,12397,11408,42905
0,22.53683284,88.35460177,Ballygunge,12375,9001,9523,10464,10429,12036,11322,10410,42958
0,22.53737227,88.35489873,Ballygunge,11205,8993,9503,10551,10354,12858,12310,11307,42972
0,22.53709887,88.35518775,Ballygunge,15534,8991,9425,10241,9894,13086,12745,11377,42942
0,22.53655207,88.3557658,Ballygunge,11205,9304,10159,11527,11842,14006,13100,11919,42864
0,22.53654961,88.35605746,Ballygunge,11790,9142,9976,11360,11530,13185,12119,10721,42884
0,22.53681318,88.35693511,Ballygunge,15534,9136,9912,11303,11410,13580,13149,12047,42894
0,22.53681072,88.35722678,Ballygunge,11205,9044,9842,11086,11166,13240,12047,10727,43062
0,22.5373526,88.35723208,Ballygunge,11790,9367,10156,11342,11516,13277,12853,11530,43010
0,22.53789203,88.35752904,Ballygunge,12375,9657,10345,11432,11600,13566,13421,12492,43049
0,22.53815558,88.3584067,Ballygunge,11439,8883,9621,10848,10903,12632,12155,11027,43289
0,22.53761616,88.35810973,Ballygunge,11205,9454,10240,11325,11337,13290,13085,11875,43178
0,22.53734768,88.35781541,Ballygunge,10620,9356,10139,11357,11467,13467,12616,11447,43108
0,22.53627129,88.35692982,Ballygunge,15534,8754,9505,10846,10805,13450,11408,10119,42931
0,22.53708904,88.35635442,Ballygunge,12960,9200,9921,11219,11192,13902,12936,11268,42837
0,22.53600527,88.35634384,Ballygunge,14130,8637,9400,10737,10659,13280,12328,10997,42933
0,22.53573924,88.35575786,Ballygunge,15534,8845,9526,10741,10672,13134,12109,10716,43011
0,22.53628604,88.35517982,Ballygunge,11439,9243,9948,11155,11192,12637,12125,11248,42848
0,22.5365619,88.35459913,Ballygunge,11205,9335,9920,10947,11042,12481,12601,11727,42939
0,22.5379117,88.35519569,Ballygunge,12375,8964,9739,11138,11313,12560,12058,11132,42837
