Class,latitude,longitude,Location,Guidance Value(Rs. per square foot),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,22.51506624,88.36518042,Ballygunge,11439,8423,9065,10088,9956,11583,10668,9659,43411
0,22.51587413,88.36577165,Ballygunge,12960,9024,9751,10917,10981,13651,13290,11895,43622
0,22.51480272,88.3643029,Ballygunge,12960,8816,9394,10477,10516,12775,13744,12287,43465
0,22.51369916,88.36662521,Ballygunge,12375,8937,9610,10550,10632,12237,12121,11061,43736
0,22.51343069,88.36633093,Ballygunge,12960,8966,9561,10548,10551,12590,12279,11102,43689
0,22.51343564,88.36574769,Ballygunge,11790,9009,9644,10609,10634,12533,12681,11685,43430
0,22.51424105,88.36663054,Ballygunge,12960,8931,9550,10467,10390,12598,12355,11176,43575
0,22.5131548,88.3669115,Ballygunge,12960,8978,9650,10552,10561,12689,12456,11332,43805
0,22.51288881,88.3663256,Ballygunge,11439,9287,9915,10729,10773,13187,12488,11245,43592
0,22.51208093,88.36573438,Jadavpur,12375,8528,9088,10091,9922,12339,12366,11141,43441
0,22.51153657,88.36602067,Jadavpur,11205,8656,9235,10296,10181,11943,11597,10627,43457
0,22.51180009,88.36689818,Jadavpur,11205,8654,9321,10380,10426,12536,12166,10957,43670
0,22.51234198,88.3669035,Jadavpur,11205,9088,9887,10871,11075,12868,13568,12428,43701
0,22.51207598,88.36631761,Jadavpur,11790,8746,9413,10326,10356,12253,11824,10661,43511
0,22.51152915,88.36689551,Jadavpur,12960,8671,9282,10221,10272,12059,12370,10871,43680
0,22.51397505,88.36604463,Ballygunge,15534,8766,9431,10496,10372,12792,12093,10591,43546
0,22.51515982,88.3540988,Ballygunge,14130,9084,9823,10826,10881,12761,13010,11781,43692
0,22.51462284,88.35351028,Ballygunge,12960,9083,9605,10566,10601,12810,12715,11590,43790
0,22.5147755,88.36751072,Ballygunge,10620,8869,9369,10159,10047,11662,11843,10898,43752
0,22.5139602,88.36779434,Ballygunge,13311,8743,9117,9988,9681,12714,11729,10431,43856
0,22.51342079,88.3674974,Ballygunge,11205,8882,9512,10515,10562,12186,11741,10683,43844
0,22.51515246,88.35497367,Ballygunge,13311,9009,9755,10868,11013,12634,12757,11475,43832
0,22.51704661,88.35528378,Ballygunge,15534,8667,9292,10347,10241,12614,12282,11008,43730
0,22.51353906,88.35349973,Ballygunge,15534,8591,9272,10224,10124,11707,11521,10331,43485
0,22.51380019,88.35466884,Ballygunge,11439,8968,9518,10352,10373,11843,10893,9978,43697
0,22.51379038,88.35583532,Ballygunge,11205,8796,9417,10405,10395,12110,11359,10355,43466
0,22.53683284,88.35460177,Ballygunge,12375,8633,9266,10387,10405,11928,11576,10936,43546
0,22.53737227,88.35489873,Ballygunge,11439,8856,9510,10367,10339,12636,12469,11160,43531
0,22.53709887,88.35518775,Ballygunge,10620,9263,9814,10563,10306,13255,13039,12211,43484
0,22.53655207,88.3557658,Ballygunge,12960,8998,9708,10863,11075,12966,12724,11659,43408
0,22.53654961,88.35605746,Ballygunge,12960,8939,9622,10723,10853,12579,12599,11165,43401
0,22.53681318,88.35693511,Ballygunge,11439,9103,9746,10787,11081,13114,12351,11210,43427
0,22.53681072,88.35722678,Ballygunge,10620,8768,9308,10388,10296,12467,12304,10866,43615
0,22.5373526,88.35723208,Ballygunge,12960,9009,9595,10689,10719,12518,12810,11763,43602
0,22.53789203,88.35752904,Ballygunge,10620,9135,9869,10768,10939,12760,12418,11433,43654
0,22.53815558,88.3584067,Ballygunge,11439,8528,9128,10150,10048,11960,11009,10107,43891
0,22.53761616,88.35810973,Ballygunge,15534,9051,9702,10599,10567,12677,12457,11363,43710
0,22.53734768,88.35781541,Ballygunge,11205,8967,9563,10492,10461,12349,12190,10972,43654
0,22.53627129,88.35692982,Ballygunge,15534,8694,9271,10343,10279,12668,11812,10447,43476
0,22.53708904,88.35635442,Ballygunge,12375,9078,9714,10670,10678,13498,12561,10996,43344
0,22.53600527,88.35634384,Ballygunge,11790,8517,9087,10185,10131,12683,11998,10633,43441
0,22.53573924,88.35575786,Ballygunge,15534,8628,9106,10030,9916,12599,11852,10412,43513
0,22.53628604,88.35517982,Ballygunge,12960,8682,9364,10377,10348,12036,11588,10458,43450
0,22.5365619,88.35459913,Ballygunge,12375,9002,9637,10806,10924,12514,12763,11801,43545
0,22.5379117,88.35519569,Ballygunge,12375,8576,9314,10261,10381,11790,11583,10332,43447
0,22.53817773,88.35578167,Ballygunge,12375,8785,9382,10474,10421,12924,11406,10313,43439
2,22.49450665,88.36118777,Jadavpur,6264,8800,9442,10422,10366,13519,12728,11325,43763
2,22.4939623,88.36147405,Jadavpur,6525,9214,9982,11017,11121,13902,12828,11291,43492
2,22.4939623,88.36147405,Jadavpur,6030,9214,9982,11017,11121,13902,12828,11291,43492
2,22.49369135,88.3614714,Jadavpur,7227,8875,9464,10535,10464,13118,12545,11089,43474
2,22.49287852,88.36146344,Jadavpur,6525,8888,9454,10441,10432,13689,12961,11246,43465
2,22.49260019,88.36233552,Jadavpur,7110,8866,9474,10374,10324,13427,12128,10544,43502
2,22.49259772,88.36262709,Jadavpur,6525,8778,9357,10412,10350,12423,12358,11086,43489
2,22.4928662,88.36292132,Jadavpur,6174,8514,9049,10097,9937,13623,12590,10870,43465
2,22.49286373,88.36321289,Jadavpur,9801,8845,9389,10370,10360,12915,12686,11424,43476
2,22.49259279,88.36321024,Jadavpur,9099,8852,9332,10218,10220,12598,12487,11337,43495
2,22.49232678,88.36262444,Jadavpur,6525,8754,9346,10339,10215,12933,12131,10898,43521
2,22.49232185,88.36320758,Jadavpur,6264,8947,9352,10175,10104,12724,12920,11576,43518
2,22.49205583,88.36262178,Jadavpur,6264,8929,9375,10223,10089,12987,12154,10839,43554
2,22.49178489,88.36261913,Jadavpur,7344,9172,9537,10296,10195,12658,12357,11163,43586
2,22.49286127,88.36350447,Jadavpur,6030,8962,9506,10521,10485,12738,12320,11218,43506
2,22.49340315,88.36350978,Jadavpur,6525,8614,9254,10349,10265,13170,12021,10608,43544
2,22.49367163,88.36380401,Jadavpur,6525,8739,9241,10223,10096,12954,12050,10736,43595
2,22.49394257,88.36380666,Jadavpur,6174,8756,9257,10248,10075,13207,12525,11103,43608
2,22.49394504,88.36351509,Jadavpur,8514,9275,9968,11055,11244,13749,13205,11709,43566
2,22.49421351,88.36380932,Jadavpur,6264,8720,9158,10140,9908,13516,12562,10977,43651
2,22.49448693,88.3635204,Jadavpur,8280,9158,9650,10447,10511,13095,12248,10874,43620
2,22.49421598,88.36351774,Jadavpur,6030,9381,9885,10878,11044,13456,13186,11914,43621
2,22.49476527,88.36264832,Jadavpur,6525,9111,9707,10778,10833,13308,12884,11494,43652
2,22.49503868,88.36235939,Jadavpur,9801,9003,9576,10572,10592,12889,12657,11292,43573
2,22.49503128,88.36323413,Jadavpur,7227,9114,9604,10452,10399,12499,12640,11605,43456
2,22.4947554,88.36381463,Jadavpur,6525,8983,9282,9922,9662,12073,12197,11183,43604
2,22.49475787,88.36352305,Jadavpur,6525,9091,9357,10075,9794,12319,12473,11459,43579
2,22.49475293,88.36410621,Jadavpur,8514,9015,9331,10067,9845,12095,12358,11295,43500
2,22.49448199,88.36410355,Jadavpur,6264,8932,9247,10041,9838,12418,12386,11157,43526
2,22.49421105,88.3641009,Jadavpur,7110,8823,9206,9996,9806,12266,12124,10849,43539
2,22.49530962,88.36236204,Jadavpur,6264,9023,9646,10782,10862,13358,12892,11259,43557
2,22.49530222,88.36323678,Jadavpur,7110,9298,9690,10736,10744,12859,12731,11646,43456
2,22.49558303,88.36207312,Jadavpur,6264,8823,9509,10373,10327,13342,12038,10518,43589
2,22.49369628,88.36088824,Jadavpur,6525,8822,9410,10427,10379,13187,12353,10958,43647
2,22.49342534,88.36088559,Jadavpur,6174,8883,9483,10578,10596,13346,12791,11398,43617
2,22.49315685,88.36059137,Jadavpur,8514,8788,9324,10202,10034,13249,12611,11038,43592
2,22.49288345,88.36088029,Jadavpur,7227,9060,9515,10543,10404,13830,13082,11575,43615
2,22.49261004,88.36116922,Jadavpur,6174,8990,9441,10232,10160,13391,13056,11536,43516
2,22.49206323,88.36174706,Jadavpur,6264,8752,9198,10106,9970,13396,12655,11005,43516
2,22.49178982,88.36203598,Jadavpur,7110,8914,9318,10322,10247,13013,12681,11306,43602
2,22.49206569,88.36145549,Jadavpur,7110,8821,9230,10134,9985,13082,13068,11409,43531
2,22.49179721,88.36116127,Jadavpur,6525,9038,9373,10178,10087,13216,13070,11749,43523
2,22.49233664,88.36145814,Jadavpur,7110,8849,9241,10005,9789,13588,12445,10785,43515
2,22.49287852,88.36146344,Jadavpur,6174,8888,9454,10441,10432,13689,12961,11246,43465
2,22.5349999,88.34699999,Alipore,6525,9064,9644,10416,10423,12124,13140,12257,44063
2,22.53499746,88.34729166,Alipore,9801,9008,9657,10631,10630,12074,12265,11312,44033
2,22.53499501,88.34758332,Alipore,6264,8842,9501,10351,10350,11584,11647,10721,44037
