Class,latitude,longitude,Location,Guidance Value(Rs. per square meter.),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,12.97368147,77.64232977,Indiranagar,156030,6453,7711,10347,10690,15718,15711,13701,43723
0,12.97448321,77.64344365,Indiranagar,390040,9831,10568,11701,11817,15155,13693,12286,43700
0,12.97421784,77.64288814,Indiranagar,263700,6747,8794,12631,13046,16487,16259,13789,43720
0,12.97637734,77.64374003,Indiranagar,203000,4666,5703,8163,8045,10832,10462,9788,43539
0,12.97665957,77.64263759,Indiranagar,203000,6891,7277,8982,8586,10492,9783,9158,43731
0,12.97693056,77.64264046,Indiranagar,278600,7422,7976,9386,9283,11610,10278,9434,43775
0,12.97691089,77.64457474,Indiranagar,344500,8485,8801,9988,9891,12597,12243,11177,43238
0,12.97748659,77.64126455,Indiranagar,205000,8650,8948,10220,10083,13773,13048,11568,44089
0,12.97828833,77.64237845,Indiranagar,278600,7312,7781,9271,9167,11142,10204,9610,44274
0,12.97828552,77.64265478,Indiranagar,278600,7375,7787,9013,8875,10595,9990,9418,44225
0,12.97774635,77.64237272,Indiranagar,286020,7043,7374,8797,8759,10906,10503,9564,44038
0,12.97857055,77.641276,Indiranagar,344500,9323,10202,11750,12578,14597,15209,13752,44468
0,12.97584659,77.642629,Indiranagar,278600,6678,7284,9087,9027,11507,10559,9584,43902
0,12.97583817,77.64345797,Indiranagar,390040,5828,6229,8479,7933,11115,10352,9508,43573
0,13.01060395,77.58218911,Malleshwaram,263700,7893,8272,9279,9276,13100,11639,10365,44167
0,13.0103357,77.58190993,Malleshwaram,163000,7757,7910,8910,8363,12215,10089,8930,44095
0,13.01032469,77.58301543,Malleshwaram,156030,7777,8014,8943,8681,11254,9901,9035,44418
0,13.01005644,77.58273625,Malleshwaram,278600,7929,7916,8821,8193,10920,9153,8781,44251
0,13.00951443,77.58273064,Malleshwaram,263700,7625,8035,9094,8970,10860,9772,8992,44374
0,13.00924618,77.58245146,Malleshwaram,203000,7702,8238,9456,9607,11437,10084,9188,44367
0,13.00923517,77.58355695,Malleshwaram,204300,7872,8399,9814,9661,10964,9674,9145,44410
0,13.00842491,77.58327216,Malleshwaram,278600,8152,8479,9733,9440,11217,10256,9413,43830
0,13.00842767,77.58299578,Malleshwaram,205000,7690,8098,9228,9212,11214,9816,9073,43855
0,13.00870142,77.58272222,Malleshwaram,390040,8292,8839,10441,10937,12576,12619,11336,43906
0,13.00872068,77.5807876,Malleshwaram,163000,9686,10239,11526,12093,14505,14130,12510,44286
0,13.00872892,77.57995847,Malleshwaram,278600,9548,10256,11467,12057,14114,14815,13340,44108
0,13.00900268,77.5796849,Malleshwaram,390040,8394,8807,10109,10132,13526,12780,11567,44212
0,13.00900817,77.57913215,Malleshwaram,482300,8487,9020,10547,10782,15876,15042,13073,43945
0,13.00793514,77.57801544,Malleshwaram,205000,17395,18141,19905,20107,23991,23459,21272,42769
0,13.00846342,77.57940292,Malleshwaram,270000,9607,10533,12407,13179,16482,15985,14032,43857
0,13.0079269,77.57884457,Malleshwaram,286020,12101,13223,14348,14985,18974,18458,16328,43636
0,13.00955843,77.57830863,Malleshwaram,344500,9198,9549,11275,11759,15809,14787,13207,43524
0,13.01091345,77.57832264,Malleshwaram,204300,9376,9838,11164,11518,14553,13819,11921,43833
0,13.00925994,77.58106958,Malleshwaram,286020,8827,9164,10515,10602,14668,13959,12372,44456
0,12.93131416,77.62419933,Koramangala,344500,8820,9108,10222,10330,12391,11953,10745,44162
